Brand,City,Country,Sum of Latitude,Sum of Longitude,Postcode,State/Province,Store Name,Store Number
Starbucks,Arequipa,PE,-16.42,-71.5,"",ARE,Aventura Arequipa,18284-189404
Starbucks,Arequipa,PE,-16.39,-71.55,4000,ARE,Real Plaza Arequipa,6103-148586
Starbucks,Arequipa,PE,-16.4,-71.54,51,ARE,Cayma,1925-153106
Starbucks,Arequipa,PE,-16.4,-71.54,51,ARE,Mercaderes Arequipa,7087-153105
Starbucks,Arequipa,PE,-16.42,-71.54,5154,ARE,Parque Lambramani Arequipa,13014-154464
Starbucks,Århus,DK,56.15,10.21,8000,DK,Salling Arhus,19482-199484
Starbucks,Arkadelphia,US,34.13,-93.06,71999,AR,Henderson State University - Garris,20651-205405
Starbucks,Arklow Co Wicklow,IE,52.8,-6.15,0,L,Bridgewater,48399-263286
Starbucks,Arlington,US,38.89,-77.09,222013379,VA,Courthouse Arlington,13593-108177
Starbucks,Arlington,US,38.89,-77.09,222013840,VA,The Market Common,7706-13747
Starbucks,Arlington,US,38.9,-77.1,222014207,VA,Spout Run,720-1124
Starbucks,Arlington,US,38.87,-77.06,22202,VA,Macys Fashion Ctr-Pentagon City,26920-244465
Starbucks,Arlington,US,38.86,-77.06,22202,VA,Pentagon City Level 1 Food Court,9317-225904
Starbucks,Arlington,US,38.87,-77.06,22202,VA,Pentagon II-Wedge I.,17383-176847
Starbucks,Arlington,US,38.86,-77.06,22202,VA,The Acadia,24476-238094
Starbucks,Arlington,US,38.87,-77.06,22202,VA,The Pentagon - Retail Corridor,70012-103332
Starbucks,Arlington,US,38.86,-77.06,222022064,VA,Pentagon Row,7596-20501
Starbucks,Arlington,US,38.86,-77.06,222022700,VA,Pentagon Centre,729-2063
Starbucks,Arlington,US,38.86,-77.05,222023231,VA,Crowne Plaza Reagan National Airpor,75807-97318
Starbucks,Arlington,US,38.86,-77.05,222023324,VA,Crystal City,7409-1384
Starbucks,Arlington,US,38.85,-77.05,222023566,VA,The Concord,14173-116564
Starbucks,Arlington,US,38.85,-77.05,222023711,VA,2231 Crystal Drive,7460-5524
Starbucks,Arlington,US,38.88,-77.1,22203,VA,Virginia Square Metro,7820-54122
Starbucks,Arlington,US,38.88,-77.11,222031821,VA,Ballston Metro Center,7389-1290
Starbucks,Arlington,US,38.88,-77.11,222031825,VA,Westin Arlington Lobby,75782-36279
Starbucks,Arlington,US,38.86,-77.08,22204,VA,Penrose Square -Columbia Pike,24498-238089
Starbucks,Arlington,US,38.85,-77.07,222062731,VA,Arlington Ridge,17055-159609
Starbucks,Arlington,US,38.9,-77.14,222071600,VA,Safeway-Arlington #764,74442-79584
Starbucks,Arlington,US,38.9,-77.14,222071611,VA,Lee Harrison S/C,7579-17775
Starbucks,Arlington,US,38.9,-77.12,222073304,VA,Lee Heights Shops,14374-115044
Starbucks,Arlington,US,38.9,-77.07,222092013,VA,International Place,7621-25449
Starbucks,Arlington,US,38.9,-77.08,222092411,VA,Safeway-Arlington #1048,74162-27507
Starbucks,Arlington,US,42.41,-71.15,24745303,MA,Arlington,7205-1788
Starbucks,Arlington,US,42.43,-71.19,24764103,MA,"Mass. Ave., Arlington",7364-1204
Starbucks,Arlington,US,32.78,-97.1,760063793,TX,Tom Thumb-Arlington #3658,3966-90309
Starbucks,Arlington,US,32.73,-97.11,76010,TX,Follett University of Texas - Arlin,25427-237539
Starbucks,Arlington,US,32.77,-97.1,760112802,TX,Collins & Lamar,10699-100947
Starbucks,Arlington,US,32.75,-97.13,76012,TX,Randol Mill & Fielder,3469-93082
Starbucks,Arlington,US,32.72,-97.15,760132210,TX,Bowen & Park Row,10700-101447
Starbucks,Arlington,US,32.72,-97.15,760132257,TX,Tom Thumb-Arlington #3617,74655-90304
Starbucks,Arlington,US,32.72,-97.12,760132700,TX,Cooper & Park Row,10214-99890
Starbucks,Arlington,US,32.68,-97.14,760154103,TX,Super Target Arlington ST-1339,72634-32359
Starbucks,Arlington,US,32.68,-97.13,760154120,TX,Parks at Arlington Mall,6778-74051
Starbucks,Arlington,US,32.68,-97.19,760164424,TX,Kroger-Arlington #695,72553-87666
Starbucks,Arlington,US,32.68,-97.2,760165603,TX,Little Rd & Office Park,8772-94642
Starbucks,Arlington,US,32.67,-97.13,760175905,TX,S Cooper & Bardin,9314-96175
Starbucks,Arlington,US,32.68,-97.11,76018,TX,Arlington Highlands,17762-180804
Starbucks,Arlington,US,32.67,-97.11,760181005,TX,Matlock & Bardin,9540-96387
Starbucks,Arlington,US,32.73,-97.11,76019,TX,Univ. TX - Arlington University Cen,75375-102127
Starbucks,Arlington,US,48.15,-122.18,98223,WA,Smokey Point,3305-9639
Starbucks,Arlington,US,48.18,-122.13,982235094,WA,Safeway-Arlington #1522,74700-97010
Starbucks,Arlington,US,48.15,-122.18,982238758,WA,Safeway - Arlington #534,74835-100102
Starbucks,Arlington Heights,US,42.11,-87.98,600043910,IL,Arlington Hts Rd & Palatine,2219-630
Starbucks,Arlington Heights,US,42.05,-87.98,60005,IL,Arlington Heights & Golf Road,21358-211207
Starbucks,Arlington Heights,US,42.09,-88.02,600051000,IL,Euclid & Salt Creek Ln,14335-116145
Starbucks,Arlington Heights,US,42.08,-87.98,600051427,IL,Downtown Arlington Heights,2263-1296
Starbucks,Arnhem,NL,51.98,5.9,6811 KK,GE,Arnhem Centraal Station,15814-161124
Starbucks,Arnold,US,39.03,-76.5,210122557,MD,Safeway-Arnold #2764,70336-142244
Starbucks,Arnold,US,38.44,-90.37,63010,MO,Arnold Crossroads,16249-162125
Starbucks,Arnold,US,38.41,-90.4,63010,MO,Target Arnold T-1278,20791-208087
Starbucks,Arroyo Grande,US,35.12,-120.6,93420,CA,Grand Ave & Elm Street,6887-243889
Starbucks,Arroyo Grande,US,35.13,-120.6,934201902,CA,West Branch & Rancho Parkway,5689-5179
Starbucks,Artesia,US,33.87,-118.08,907014501,CA,"Pioneer & Artesia, Artesia",2989-93580
Starbucks,Arvada,US,39.8,-105.11,800022013,CO,58th & Kipling- Arvada,10720-100167
Starbucks,Arvada,US,39.84,-105.08,800031645,CO,"King Soopers-Arvada, CO #36",16635-173425
Starbucks,Arvada,US,39.84,-105.08,800031646,CO,80th & Wadsworth,5293-808
Starbucks,Arvada,US,39.84,-105.08,800032107,CO,Target Arvada T-48,76512-99423
Starbucks,Arvada,US,39.84,-105.08,800032113,CO,Safeway-Arvada #1998,74291-75247
Starbucks,Arvada,US,39.82,-105.08,800033946,CO,66th & Wadsworth-Arvada,8757-93212
Starbucks,Arvada,US,39.81,-105.05,800036645,CO,King Soopers-Arvada #3,16857-176084
Starbucks,Arvada,US,39.8,-105.08,80007,CO,55th & Wadsworth,5399-897
Starbucks,Arvada,US,39.81,-105.17,800077510,CO,King Soopers - Arvada #85,73931-102079
Starbucks,Arvin,US,34.99,-118.94,93203,CA,Laval Road & Wheeler Ridge,24310-232264
Starbucks,Asahikawa,JP,43.76,142.36,070-0030,1,AEON MALL Asahikawa Eki-mae,26291-235224
Starbucks,Asahikawa,JP,43.79,142.32,070-0823,1,AEON MALL Asahikawa-nishi,30540-94875
Starbucks,Asahikawa,JP,43.74,142.41,078-8353,1,Asahikawa Toko,47076-251782
Starbucks,Asahikawa,JP,43.73,142.38,078-8510,1,Asahikawa Medical College Hospital,31568-111246
Starbucks,Asaka,JP,35.8,139.6,351-0011,11,Asaka Eki-mae,30466-84829
Starbucks,Asan-si,KR,36.78,127.02,336-040,44,Asan Terminal,25855-242530
Starbucks,Ashburn,US,39.04,-77.5,201473407,VA,Ashburn Farm S/C,7688-36859
Starbucks,Ashburn,US,39.06,-77.47,201475036,VA,Ashbrook Commons,9376-83724
Starbucks,Ashburn,US,39.02,-77.48,201475880,VA,Farmwell Road,11310-103108
Starbucks,Ashburn,US,38.99,-77.54,20148,VA,Harris Teeter Ashburn #230,18533-187947
Starbucks,Ashburn,US,39.08,-77.5,201766501,VA,Lansdowne Town Center,11383-103423
Starbucks,Asheville,US,35.6,-82.55,288012434,NC,Charlotte St.,8598-82600
Starbucks,Asheville,US,35.48,-82.55,28803,NC,Long Shoals Rd & I-26,22309-216224
Starbucks,Asheville,US,35.52,-82.53,288031957,NC,Parkway Centre,2862-83232
Starbucks,Asheville,US,35.57,-82.54,288032670,NC,Biltmore Village,8585-82303
Starbucks,Asheville,US,35.5,-82.52,288033217,NC,Ingles-Asheville #30,72571-98062
Starbucks,Asheville,US,35.63,-82.55,288042304,NC,Ingles-Asheville#3,79308-98053
Starbucks,Asheville,US,35.58,-82.52,28805,NC,Target Asheville T-1807,19919-202925
Starbucks,Asheville,US,35.6,-82.54,288051229,NC,Ingles-Asheville #7,73885-132946
Starbucks,Asheville,US,35.59,-82.49,288052037,NC,Ingles-Asheville #4,3921-145304
Starbucks,Asheville,US,35.58,-82.53,288052238,NC,Asheville Mall,11420-105384
Starbucks,Asheville,US,35.53,-82.6,28806,NC,Asheville Outlets,27436-242685
Starbucks,Asheville,US,35.53,-82.61,28806,NC,Ingles Asheville 24,49575-269344
Starbucks,Asheville,US,35.61,-82.63,288062122,NC,Ingles-Asheville #62,3922-98060
Starbucks,Ashford,GB,51.14,0.88,TN23 1EZ,ENG,SSP Ashford,23586-231430
Starbucks,Ashford,GB,51.15,0.87,TN24 8SA,ENG,Ashford - High Street,25245-240306
Starbucks,Ashland,US,37.76,-77.47,230052217,VA,Ashland Hanover,10847-102093
Starbucks,Ashland,US,38.48,-82.64,411017532,KY,Winchester & 12th,11795-104594
Starbucks,Ashland,US,40.86,-82.26,448059754,OH,TA - Ashland,75837-98396
Starbucks,Ashland,US,42.19,-122.67,975201407,OR,Albertsons-Ashland #573,73555-79347
Starbucks,Ashland,US,42.2,-122.71,975201829,OR,Ashland,448-933
Starbucks,Ashorne,GB,52.22,-1.5,CV35 0AA,ENG,WB Warwick Kiosk,18361-190425
Starbucks,Ashorne,GB,52.22,-1.51,CV35 0AA,ENG,WB Warwick North,9157-152265
Starbucks,Ashwaubenon,US,44.47,-88.08,543045754,WI,Oneida & Ramada,10624-101632
Starbucks,Aspen,US,39.19,-106.82,816111994,CO,Vail @ Aspen,75581-73361
Starbucks,Astana,KZ,51.13,71.43,0,AST,Keruen,50507-261807
Starbucks,Astana,KZ,51.13,71.4,0,AST,Khan Shatyr SC,50405-260391
Starbucks,Astoria,US,40.77,-73.92,11102,NY,Astoria Blvd & 31st St,22638-223164
Starbucks,Astoria,US,40.76,-73.92,111033911,NY,31-44 Steinway Street,7567-18640
Starbucks,Astoria,US,40.78,-73.91,111052714,NY,31St St & Ditmars Blvd,7555-14690
Starbucks,Astoria,US,40.76,-73.92,11106,NY,35th Ave and 37th St,9663-97893
Starbucks,Astoria,US,40.76,-73.93,111062648,NY,31-01 Broadway,14840-129334
Starbucks,Astoria,US,46.19,-123.81,971032637,OR,Safeway-Astoria #2627,74444-94719
Starbucks,Atascadero,US,35.53,-120.7,934221424,CA,"El Camino & Santa Cruz, Atascadero",10130-99744
Starbucks,Atascadero,US,35.49,-120.66,934224523,CA,El Camino Real & 41,5987-151304
Starbucks,Atascocita,US,30,-95.17,773462705,TX,Super Target Atascocita ST-2389,76902-125825
Starbucks,Athens,GR,37.91,23.73,"",A1,ASC,42402-78300
Starbucks,Athens,GR,37.86,23.75,"",A1,Glyfada Lampraki,31480-107809
Starbucks,Athens,GR,38.03,23.79,"",A1,Golden Hall,1348-117508
Starbucks,Athens,GR,38.01,23.8,"",A1,Holargos Mesogeion,31148-104786
Starbucks,Athens,GR,37.98,23.75,"",A1,Ilissia,32196-124527
Starbucks,Athens,GR,38.09,23.8,"",A1,Kato Kifissia,42426-94814
Starbucks,Athens,GR,38.07,23.81,"",A1,Kifissia,42431-97953
Starbucks,Athens,GR,38.05,23.84,"",A1,Vrilissia 2,30790-103676
Starbucks,Athens,GR,37.98,23.73,10 564,A1,Korai Street,42401-79886
Starbucks,Athens,GR,37.98,23.73,10556,A1,Monastiraki,15278-159324
Starbucks,Athens,GR,37.99,23.76,115 23,A1,Ampelokipoi Thon,42412-84881
Starbucks,Athens,GR,38.05,23.79,15122,A1,The Mall-Athens,30782-101706
Starbucks,Athens,GR,37.95,23.72,171 21,A1,N. Smyni,42407-83982
Starbucks,Athens,GR,37.93,23.69,175 61,A1,Paleo Faliro,42403-82760
Starbucks,Athens,US,34,-83.35,30601,GA,Kroger - Athens #618,22363-220008
Starbucks,Athens,US,33.96,-83.38,306012805,GA,Athens,8327-7267
Starbucks,Athens,US,33.95,-83.38,30602,GA,UGA - Tate Center,49187-253444
Starbucks,Athens,US,33.92,-83.34,306056609,GA,Kroger-Athens #255,72524-102557
Starbucks,Athens,US,33.95,-83.41,30606,GA,Kroger Athens #428,49338-266204
Starbucks,Athens,US,33.94,-83.46,306063187,GA,Hwy 78 @ the 10 Loop,11174-103651
Starbucks,Athens,US,33.92,-83.44,306066199,GA,Epps Bridge Rd @ Hwy 316,11257-98741
Starbucks,Athens,US,34.78,-86.95,356114404,AL,Hwy 72 & Braly,10248-100069
Starbucks,Athens,US,35.45,-84.61,37303,TN,Ingles Athens # 88,18985-190184
Starbucks,Athens,US,39.34,-82.07,457012117,OH,Kroger-Athens #901,72961-93011
Starbucks,Athlone,IE,53.42,-7.94,"",L,Athlone Town Centre,25907-242939
Starbucks,Athol,US,42.58,-72.19,1331,MA,Athol Commons,29457-253887
Starbucks,Atizapan de Zaragoza,MX,19.56,-99.3,54720,MX,Zona Esmeralda,38142-95538
Starbucks,Atlanta,US,33.75,-84.39,30303,GA,The Hurt Building,47800-244884
Starbucks,Atlanta,US,33.76,-84.39,303031340,GA,AmericasMart,8232-801
Starbucks,Atlanta,US,33.76,-84.39,303031704,GA,Westin Peachtree Plaza - Lobby,75536-46399
Starbucks,Atlanta,US,33.76,-84.39,303031906,GA,Equitable,8209-817
Starbucks,Atlanta,US,33.76,-84.39,303032762,GA,CNN Center,9586-97354
Starbucks,Atlanta,US,33.76,-84.39,303037402,GA,Marriott Marquis Atlanta- Lobby,75871-10612
Starbucks,Atlanta,US,33.84,-84.37,30305,GA,Terminus 100,25771-241966
Starbucks,Atlanta,US,33.85,-84.37,303051702,GA,Disco Kroger,8314-3051
Starbucks,Atlanta,US,33.82,-84.39,303054147,GA,Peachtree Battle,982-1105
Starbucks,Atlanta,US,33.76,-84.35,30307,GA,Kroger - Edgewood #461,25979-237470
Starbucks,Atlanta,US,33.77,-84.35,303071424,GA,Little Five Points,8340-13007
Starbucks,Atlanta,US,33.76,-84.35,303072705,GA,Target Edgewood T-1964,76311-90753
Starbucks,Atlanta,US,33.78,-84.38,30308,GA,7th & Peachtree,8287-214445
Starbucks,Atlanta,US,33.77,-84.37,30308,GA,Ponce De Leon at Glen Iris-Atlanta,17523-167884
Starbucks,Atlanta,US,33.78,-84.39,303081067,GA,Barnes and Noble Tech Square,75155-74820
Starbucks,Atlanta,US,33.78,-84.37,303081793,GA,Monroe Dr & 8th St,14135-113652
Starbucks,Atlanta,US,33.79,-84.38,303091306,GA,Colony Square,13318-106888
Starbucks,Atlanta,US,33.84,-84.38,303091338,GA,Buckhead (B&N),976-1097
Starbucks,Atlanta,US,33.79,-84.39,303093645,GA,21 14th Street,8320-8125
Starbucks,Atlanta,US,33.76,-84.39,30313,GA,Embassy Suites - Centennial Park,25111-237929
Starbucks,Atlanta,US,33.78,-84.39,30313,GA,GA Inst of Tech-Innovative Learning,15872-140688
Starbucks,Atlanta,US,33.75,-84.41,30314,GA,Spelman University Manley Student C,18506-190544
Starbucks,Atlanta,US,33.74,-84.36,30316,GA,Kroger Atlanta #672,47796-246588
Starbucks,Atlanta,US,33.8,-84.41,303180911,GA,I-75 & Howell Mill Rd,10903-94045
Starbucks,Atlanta,US,33.87,-84.33,30319,GA,Oglethorpe University,19687-176745
Starbucks,Atlanta,US,33.89,-84.33,303192002,GA,Cambridge Square,8412-27033
Starbucks,Atlanta,US,33.86,-84.34,303193303,GA,Brookhaven,8276-1843
Starbucks,Atlanta,US,33.64,-84.45,30320,GA,ATL - Pre Security,50763-276066
Starbucks,Atlanta,US,33.64,-84.43,30320,GA,ATL Terminal C Gate 16,17529-182387
Starbucks,Atlanta,US,33.64,-84.44,30320,GA,ATL Terminal C Gate 37,17664-182388
Starbucks,Atlanta,US,33.64,-84.44,30320,GA,ATL Terminal F Arrivals,17742-183764
Starbucks,Atlanta,US,33.64,-84.44,30320,GA,ATL Terminal F Mezzanine,17526-182386
Starbucks,Atlanta,US,33.79,-84.33,303221018,GA,Emory University / New Bookstore,70326-110465
Starbucks,Atlanta,US,33.82,-84.36,30324,GA,Kroger - Atlanta #626,49731-243766
Starbucks,Atlanta,US,33.83,-84.37,303243006,GA,Piedmont & Sydney Marcus,10066-97646
Starbucks,Atlanta,US,33.8,-84.37,303245018,GA,Ansley Mall,8358-14491
Starbucks,Atlanta,US,33.85,-84.36,303261109,GA,Lenox Kiosk,8310-1745
Starbucks,Atlanta,US,33.85,-84.36,303261162,GA,Macy's @ Lenox Mall,6156-149785
Starbucks,Atlanta,US,33.85,-84.36,303261201,GA,Phipps Plaza,8600-90140
Starbucks,Atlanta,US,33.85,-84.43,303272306,GA,West Paces Ferry,984-1104
Starbucks,Atlanta,US,33.92,-84.35,30328,GA,Peachtree Dunwoody & Hammond Drive,27818-248030
Starbucks,Atlanta,US,33.94,-84.38,303283185,GA,Abernathy Square,8512-27034
Starbucks,Atlanta,US,33.92,-84.38,303283909,GA,Roswell Road,978-1102
Starbucks,Atlanta,US,33.92,-84.38,303285918,GA,Kroger-Atlanta #467,72981-97093
Starbucks,Atlanta,US,33.83,-84.33,303293108,GA,North Druid Hills & Briarcliff,13611-106911
Starbucks,Atlanta,US,33.83,-84.33,303293211,GA,Target North Druid Hills T-1486,3995-146989
Starbucks,Atlanta,US,33.82,-84.33,303293449,GA,Briarcliff & LaVista,8331-10795
Starbucks,Atlanta,US,33.82,-84.31,303293908,GA,North Druid & LaVista,8473-18279
Starbucks,Atlanta,US,33.72,-84.51,303312170,GA,Cascade Road,8291-4172
Starbucks,Atlanta,US,33.93,-84.35,303385431,GA,Perimeter Point Shopping Center,989-568
Starbucks,Atlanta,US,33.86,-84.48,30339,GA,Main Lobby Home Depot HQ,49014-257524
Starbucks,Atlanta,US,33.88,-84.47,303393133,GA,Cumberland Mall,8382-13180
Starbucks,Atlanta,US,33.86,-84.48,303396132,GA,I-285 @ Paces Ferry Rd,11788-106442
Starbucks,Atlanta,US,33.89,-84.38,303422686,GA,Kroger-Atlanta #350,79255-97095
Starbucks,Atlanta,US,33.87,-84.38,303423766,GA,Roswell Rd. @ Chastain,8492-36143
Starbucks,Atlanta,US,33.93,-84.34,303461223,GA,Super Target Atlanta ST-2036,76475-97600
Starbucks,Atlanta,US,33.99,-84.35,303507533,GA,Dunwoody Place,8225-1028
Starbucks,Atlanta,US,33.79,-84.4,303631078,GA,Twelve Atlantic Station,75929-104746
Starbucks,Atlanta,US,33.79,-84.4,303631190,GA,Target Atlanta T-2137,76828-100233
Starbucks,Atlantic City,US,39.38,-74.43,8401,NJ,Golden Nugget-Atlantic City,17549-173804
Starbucks,Atlantic City,US,39.36,-74.44,84014119,NJ,"Atlantic City, The Walk",7849-80862
Starbucks,Atlantic City,US,39.35,-74.45,84016338,NJ,Tropicana Marketplace,75621-82681
Starbucks,Atlantic City,US,39.35,-74.44,84016390,NJ,Tropicana Casino & Resort-The Quart,14932-150984
Starbucks,Atlantic City,US,39.36,-74.42,84017415,NJ,Trump Taj Mahal-Atlantic City-Main,75451-102575
Starbucks,Atrium Térreo,BR,-23.62,-46.63,"",SP,Shopping Plaza Sul,20361-204804
Starbucks,Atsugi,JP,35.43,139.37,243-0014,14,SONY Atsugi Technology Center,31129-105574
Starbucks,Atsugi,JP,35.44,139.36,243-0018,14,Hon-atsugi,30051-114910
Starbucks,Atsugi,JP,35.42,139.32,243-0192,14,Nissan Motor Co. Ltd. Technical Cen,31252-106788
Starbucks,Atsugi,JP,35.42,139.32,243-0192,14,Nissan Technical Center V1 Bldg.,32012-127586
Starbucks,Atsugi,JP,35.47,139.34,243-0212,14,Atsugi Oigawa,32219-135146
Starbucks,Atwater,US,37.36,-120.59,953012304,CA,Bellevue & Shaffer - Atwater,11089-102680
Starbucks,Atwater,US,37.34,-120.59,953015213,CA,Super Target Atwater ST-2386,76906-121301
Starbucks,Atwater,US,37.34,-120.62,953019696,CA,Applegate & Hwy 99 - Atwater,11090-103493
Starbucks,Auburn,US,42.2,-71.84,15014423,MA,Auburn Centre,7741-16494
Starbucks,Auburn,US,32.61,-85.46,368304404,AL,"Kroger-Auburn, AL #260",47255-121766
Starbucks,Auburn,US,32.6,-85.49,36849,AL,Auburn University - Auburn AL - stu,78065-105597
Starbucks,Auburn,US,32.61,-85.48,36849,AL,Auburn University Lowder Lounge,22803-218127
Starbucks,Auburn,US,44.12,-70.23,42108521,ME,"Auburn ME, Mount Auburn Ave.",9709-98003
Starbucks,Auburn,US,41.37,-85.07,467062014,IN,I 69 & SR 8,11845-105632
Starbucks,Auburn,US,39.04,-121.09,956028901,CA,Hwy 49 & Combie,11221-103842
Starbucks,Auburn,US,38.92,-121.06,95603,CA,Auburn Ravine & I-80,20224-203884
Starbucks,Auburn,US,38.94,-121.1,95603,CA,Hwy 49 & Willow Creek,27036-241738
Starbucks,Auburn,US,38.94,-121.09,956032502,CA,Safeway - Auburn #3122,79629-107175
Starbucks,Auburn,US,38.94,-121.09,956032508,CA,Target Auburn T-1097,17889-162245
Starbucks,Auburn,US,38.94,-121.1,956032539,CA,Bell & Highway 49 - Auburn,6478-61339
Starbucks,Auburn,US,38.92,-121.06,956033212,CA,Lincoln & Foresthill - Auburn,6727-75008
Starbucks,Auburn,US,38.9,-121.07,956034525,CA,Auburn Town Center,5249-514
Starbucks,Auburn,US,47.3,-122.25,980016574,WA,1102 Supermall Way,9320-96196
Starbucks,Auburn,US,47.32,-122.22,980023308,WA,Auburn Way & 15th- Auburn,13506-94475
Starbucks,Auburn,US,47.31,-122.23,980025012,WA,Safeway-Auburn #531,74394-89001
Starbucks,Auburn,US,47.29,-122.21,980026740,WA,Auburn Way S & M Street,11662-103721
Starbucks,Auburn,US,47.27,-122.23,980028608,WA,Ellingson Rd- Auburn,10529-100812
Starbucks,Auburn,US,47.27,-122.23,980028642,WA,Albertsons 483 @ South Auburn,73606-81046
Starbucks,Auburn,US,47.24,-122.21,980928158,WA,Lakeland Town Center,3384-56499
Starbucks,Auburn Hills,US,42.7,-83.3,48326,MI,Great Lakes Crossing - Food Court,22717-216884
Starbucks,Auburn Hills,US,42.71,-83.29,48326,MI,Target Auburn Hills T-1251,18953-194329
Starbucks,Auckland,NZ,-36.85,174.77,"",N,220 Queen Street,33824-51680
Starbucks,Auckland,NZ,-36.87,174.78,"",N,277 Woolworths,33814-32159
Starbucks,Auckland,NZ,-36.93,174.91,"",N,Botany Town Centre - Ground Floor,33818-44762
Starbucks,Auckland,NZ,-36.88,174.78,"",N,Browns Bay,33803-11358
Starbucks,Auckland,NZ,-36.91,174.68,"",N,Lynnmall Kiosk,33841-98093
Starbucks,Auckland,NZ,-36.85,174.83,"",N,Mission Bay,33807-12937
Starbucks,Auckland,NZ,-36.91,174.84,"",N,Sylvia Park,31118-103652
Starbucks,Auckland,NZ,-36.85,174.77,"",N,Symonds Street,31375-106771
Starbucks,Auckland,NZ,-36.79,174.77,"",N,Takapuna,33806-12934
Starbucks,Auckland,NZ,-36.88,174.73,"",N,Westfield St Lukes,33837-78193
Starbucks,Auckland,NZ,-36.82,174.61,"",N,Westgate-NZ,30740-101242
Starbucks,Augusta,US,33.5,-82.09,30907,GA,Bobby Jones and Old Trail Road,47388-257447
Starbucks,Augusta,US,33.51,-82.05,309073811,GA,I-20 & Washington,9556-94235
Starbucks,Augusta,US,33.48,-82.07,30909,GA,Kroger - Augusta #644,49033-244525
Starbucks,Augusta,US,33.49,-82.08,309090800,GA,Target Augusta T-1090,76760-108189
Starbucks,Augusta,US,33.49,-82.08,309090802,GA,Augusta Exchange,11118-104214
Starbucks,Augusta,US,33.51,-82.03,309092111,GA,"Kroger-Augusta, GA #676",73904-108009
Starbucks,Augusta,US,33.46,-82.08,309092516,GA,Augusta Mall,10952-103581
Starbucks,Augusta,US,33.47,-82.08,309092560,GA,Wrightsboro Rd & Capps St,11350-104272
Starbucks,Augusta,US,44.32,-69.81,4330,ME,"Augusta, Western Ave",25782-238004
Starbucks,Augusta,US,44.31,-69.81,43306101,ME,Target Augusta T-2315,76877-122186
Starbucks,Aurora,CA,44.02,-79.45,L4G 0E3,ON,129 Pedersen Dr,4761-103569
Starbucks,Aurora,CA,44.01,-79.41,L4G 0G2,ON,35 First Commerce Dr,4902-115125
Starbucks,Aurora,CA,44.01,-79.44,L4G 0K3,ON,Longos Aurora,5023-145349
Starbucks,Aurora,CA,44.01,-79.47,L4G 3W3,ON,2 Orchard Heights Blvd,4340-1875
Starbucks,Aurora,US,41.35,-81.39,442028784,OH,Target Bainbridge T-2161,76603-97500
Starbucks,Aurora,US,41.78,-88.24,60502,IL,Eola & Aurora Rd,21210-209756
Starbucks,Aurora,US,41.8,-88.27,605022910,IL,Chicago Premium Outlets,8952-95285
Starbucks,Aurora,US,41.81,-88.28,605026008,IL,Kirk & Butterfield,10825-102904
Starbucks,Aurora,US,41.76,-88.25,605029011,IL,"Rose Plaza, Aurora",2569-42619
Starbucks,Aurora,US,41.74,-88.25,605048910,IL,Aurora-Ogden & Eola,13437-106906
Starbucks,Aurora,US,41.79,-88.38,605067939,IL,Orchard & Indian Trail,8834-85688
Starbucks,Aurora,US,41.8,-88.36,605426500,IL,Target North Aurora T-2177,76699-101336
Starbucks,Aurora,US,36.97,-93.72,656052210,MO,"Price Cutter #15 Aurora, MO",73793-119724
Starbucks,Aurora,US,39.76,-104.77,800115009,CO,Tower & I-70- Aurora,10438-100760
Starbucks,Aurora,US,39.74,-104.81,800115730,CO,Colfax & Chambers-Aurora,6878-86840
Starbucks,Aurora,US,39.7,-104.83,80012,CO,"Mississippi & Abilene, Aurora",24213-180506
Starbucks,Aurora,US,39.69,-104.87,80012,CO,"Mississippi & Havana, Aurora",5294-175247
Starbucks,Aurora,US,39.71,-104.86,800121035,CO,Alameda & Ironton,11246-103076
Starbucks,Aurora,US,39.72,-104.82,800121402,CO,Super Target Aurora ST-1471,72689-76604
Starbucks,Aurora,US,39.71,-104.82,800121430,CO,I-225 & Alameda-Aurora,6821-79460
Starbucks,Aurora,US,39.7,-104.85,800123454,CO,Safeway #137 - Aurora,79569-107097
Starbucks,Aurora,US,39.69,-104.87,800125007,CO,Safeway-Aurora #2612,74351-83241
Starbucks,Aurora,US,39.65,-104.78,80013,CO,King Soopers - #128 Aurora,19362-200884
Starbucks,Aurora,US,39.65,-104.78,800133534,CO,Safeway-Aurora #1928,74263-51682
Starbucks,Aurora,US,39.65,-104.77,800133564,CO,Hampden Ave & Tower- Aurora,9600-97687
Starbucks,Aurora,US,39.67,-104.79,800135833,CO,Iliff & Buckley,6833-83644
Starbucks,Aurora,US,39.66,-104.85,800143110,CO,Parker & Peoria-Aurora,10114-93216
Starbucks,Aurora,US,39.64,-104.83,80015,CO,S. Parker Rd & E. Quincy Ave,21242-210247
Starbucks,Aurora,US,39.63,-104.81,800151208,CO,Chambers & Smoky Hill-Aurora,6881-84781
Starbucks,Aurora,US,39.61,-104.76,800155191,CO,Smoky & Himalaya,5283-284
Starbucks,Aurora,US,39.59,-104.69,80016,CO,King Soopers-Aurora #107,19889-91824
Starbucks,Aurora,US,39.59,-104.67,800161558,CO,Target Aurora South T-2458,76981-136642
Starbucks,Aurora,US,39.6,-104.8,800163011,CO,King Soopers-Aurora #84,73961-82268
Starbucks,Aurora,US,39.57,-104.72,800164236,CO,Super Target Aurora ST-1976,76305-96656
